Year,Area,Cr,AWE_base,Awe
2018,Tunisia,0.6354496208,0.32053467,0.11685103549524688
2019,Tunisia,0.6355362946900001,0.316437185,0.11532986894296594
2020,Tunisia,0.5872156013000001,0.314001113,0.12961476062083574
2022,Tunisia,0.5872156013000001,0.317113947,0.13089968993177867
