year,ET_mean,TBP_mean,V_ETb,Awp1,Awp2
2018,135.43966375067524,3913.275885897803,46995905540000.0,5.540751470323196e-05,4.5729334448450505
2019,153.08309439610503,4854.965545224048,51092358390000.0,5.096508380613139e-05,5.014774940349919
2020,144.12634413557285,5561.4698936846935,50744592720000.0,5.131436055792725e-05,5.508693758063792
2021,154.76302649536368,5015.4293940640855,45098828070000.0,5.7738225994643906e-05,5.314404663809963
2022,138.71516690020704,5392.949170771514,46078935420000.0,5.6510123410295796e-05,5.450379798655113
2023,128.467054945355,4863.893977317749,41592568220000.0,6.260556725966104e-05,5.046567512085111
2024,133.91914903423097,5603.1678637667665,45096341360000.0,5.774140980556145e-05,5.845742949787886
